date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-07-27,ddr5_desktop,basket,15.6633,2,0.2
2026-07-27,ddr5_desktop,floor,15.625,2,
2026-07-27,server_ecc,basket,28.4322,2,0.333
2026-07-27,server_ecc,floor,27.6738,2,
2026-07-27,sodimm,basket,13.0433,4,0.8
2026-07-27,sodimm,floor,10.9375,4,
2026-07-28,ddr4_desktop,basket,7.2905,4,0.667
2026-07-28,ddr4_desktop,floor,3.9831,4,
2026-07-28,ddr5_desktop,basket,15.6633,2,0.2
2026-07-28,ddr5_desktop,floor,15.625,2,
2026-07-28,server_ecc,basket,28.4322,2,0.333
2026-07-28,server_ecc,floor,27.6738,2,
2026-07-28,sodimm,basket,13.0433,4,0.8
2026-07-28,sodimm,floor,10.9375,4,
2026-07-29,ddr4_desktop,basket,7.2905,4,0.667
2026-07-29,ddr4_desktop,floor,3.9831,4,
2026-07-29,ddr5_desktop,basket,15.7016,3,0.3
2026-07-29,ddr5_desktop,floor,15.1859,3,
2026-07-29,server_ecc,basket,28.4322,2,0.333
2026-07-29,server_ecc,floor,27.6738,2,
2026-07-29,sodimm,basket,13.0433,4,0.8
2026-07-29,sodimm,floor,10.9375,4,
2026-07-30,ddr4_desktop,basket,7.2905,4,0.667
2026-07-30,ddr4_desktop,floor,3.9831,4,
2026-07-30,ddr5_desktop,basket,19.3434,2,0.2
2026-07-30,ddr5_desktop,floor,16.4216,2,
2026-07-30,server_ecc,basket,28.4322,2,0.333
2026-07-30,server_ecc,floor,27.6738,2,
2026-07-30,sodimm,basket,13.0433,4,0.8
2026-07-30,sodimm,floor,10.9375,4,
2026-07-31,ddr4_desktop,basket,7.2905,4,0.667
2026-07-31,ddr4_desktop,floor,3.9831,4,
2026-07-31,ddr5_desktop,basket,20.5356,2,0.2
2026-07-31,ddr5_desktop,floor,18.8059,2,
2026-07-31,server_ecc,basket,28.4322,2,0.333
2026-07-31,server_ecc,floor,27.6738,2,
2026-07-31,sodimm,basket,10.9375,4,0.8
2026-07-31,sodimm,floor,10.9062,4,
2026-08-01,ddr4_desktop,basket,5.7498,4,0.667
2026-08-01,ddr4_desktop,floor,3.9831,4,
