period_end,cik,ticker,concept,value
2015-06-04,0000723125,MU,inventory_days,82.0
2015-12-03,0000723125,MU,inventory_days,88.8
2016-03-03,0000723125,MU,inventory_days,101.1
2016-06-02,0000723125,MU,inventory_days,111.0
2016-12-01,0000723125,MU,inventory_days,84.8
2017-03-02,0000723125,MU,inventory_days,93.0
2017-06-01,0000723125,MU,inventory_days,94.6
2017-11-30,0000723125,MU,gross_margin_pct,55.08
2017-11-30,0000723125,MU,inventory_days,94.4
2018-03-01,0000723125,MU,gross_margin_pct,58.09
2018-03-01,0000723125,MU,inventory_days,94.3
2018-05-31,0000723125,MU,gross_margin_pct,60.57
2018-05-31,0000723125,MU,inventory_days,100.0
2018-08-30,0000723125,MU,gross_margin_pct,61.03
2018-11-29,0000723125,MU,gross_margin_pct,58.32
2018-11-29,0000723125,MU,inventory_days,107.2
2019-02-28,0000723125,MU,gross_margin_pct,49.08
2019-02-28,0000723125,MU,inventory_days,134.8
2019-05-30,0000723125,MU,gross_margin_pct,38.18
2019-05-30,0000723125,MU,inventory_days,151.2
2019-08-29,0000723125,MU,gross_margin_pct,28.64
2019-11-28,0000723125,MU,gross_margin_pct,26.56
2019-11-28,0000723125,MU,inventory_days,119.4
2020-02-27,0000723125,MU,gross_margin_pct,28.25
2020-02-27,0000723125,MU,inventory_days,138.1
2020-05-28,0000723125,MU,gross_margin_pct,32.42
2020-05-28,0000723125,MU,inventory_days,134.2
2020-09-03,0000723125,MU,gross_margin_pct,34.15
2020-12-03,0000723125,MU,gross_margin_pct,30.07
2020-12-03,0000723125,MU,inventory_days,124.8
2021-03-04,0000723125,MU,gross_margin_pct,26.44
2021-03-04,0000723125,MU,inventory_days,94.4
2021-06-03,0000723125,MU,gross_margin_pct,42.12
2021-06-03,0000723125,MU,inventory_days,96.4
2021-12-02,0000723125,MU,gross_margin_pct,46.38
2021-12-02,0000723125,MU,inventory_days,106.9
2022-03-03,0000723125,MU,gross_margin_pct,47.21
2022-03-03,0000723125,MU,inventory_days,119.5
2022-06-02,0000723125,MU,gross_margin_pct,46.69
2022-06-02,0000723125,MU,inventory_days,111.5
2022-12-01,0000723125,MU,gross_margin_pct,21.86
2022-12-01,0000723125,MU,inventory_days,239.0
2023-03-02,0000723125,MU,gross_margin_pct,-32.66
2023-03-02,0000723125,MU,inventory_days,151.4
2023-06-01,0000723125,MU,gross_margin_pct,-17.8
2023-06-01,0000723125,MU,inventory_days,170.1
2023-11-30,0000723125,MU,gross_margin_pct,-0.74
2023-11-30,0000723125,MU,inventory_days,158.6
2024-02-29,0000723125,MU,gross_margin_pct,18.53
2024-02-29,0000723125,MU,inventory_days,162.4
2024-05-30,0000723125,MU,gross_margin_pct,26.9
2024-05-30,0000723125,MU,inventory_days,156.0
2024-11-28,0000723125,MU,gross_margin_pct,38.44
2024-11-28,0000723125,MU,inventory_days,148.2
2025-02-27,0000723125,MU,gross_margin_pct,36.79
2025-02-27,0000723125,MU,inventory_days,161.5
2025-05-29,0000723125,MU,gross_margin_pct,37.72
2025-05-29,0000723125,MU,inventory_days,137.5
2025-11-27,0000723125,MU,gross_margin_pct,56.04
2025-11-27,0000723125,MU,inventory_days,124.8
2026-02-26,0000723125,MU,gross_margin_pct,74.41
2026-02-26,0000723125,MU,inventory_days,123.6
2026-05-28,0000723125,MU,gross_margin_pct,84.56
2026-05-28,0000723125,MU,inventory_days,122.1
